TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
2.12463e+00	4.73440e+03	1.41870e+14	1.00000e+02	2.22531e+26	1.37261e+02	1.52990e+28	1.36629e+02	1.71710e-01	
2.12481e+00	4.74103e+03	1.42069e+14	1.36629e+02	1.55215e+28	4.00000e+02	5.56327e+25	1.37260e+02	1.66046e-01	
2.12690e+00	4.81971e+03	1.44427e+14	1.00000e+02	2.22531e+26	1.37260e+02	1.55771e+28	1.36640e+02	1.65406e-01	
2.12708e+00	4.82638e+03	1.44627e+14	1.36640e+02	1.57997e+28	4.00000e+02	5.56327e+25	1.37260e+02	1.60049e-01	
2.12916e+00	4.90502e+03	1.46985e+14	1.00000e+02	2.22531e+26	1.37260e+02	1.58553e+28	1.36650e+02	1.59437e-01	
2.12934e+00	4.91173e+03	1.47186e+14	1.36650e+02	1.60778e+28	4.00000e+02	5.56327e+25	1.37259e+02	1.54365e-01	
2.13143e+00	4.99032e+03	1.49542e+14	1.00000e+02	2.22531e+26	1.37259e+02	1.61335e+28	1.36659e+02	1.53780e-01	
2.13161e+00	4.99708e+03	1.49745e+14	1.36659e+02	1.63560e+28	4.00000e+02	5.56327e+25	1.37258e+02	1.48973e-01	
2.13369e+00	5.07563e+03	1.52100e+14	1.00000e+02	2.22531e+26	1.37258e+02	1.64116e+28	1.36668e+02	1.48413e-01	
2.13388e+00	5.08243e+03	1.52303e+14	1.36668e+02	1.66342e+28	4.00000e+02	5.56327e+25	1.37257e+02	1.43854e-01	
2.13596e+00	5.16094e+03	1.54657e+14	1.00000e+02	2.22531e+26	1.37257e+02	1.66898e+28	1.36677e+02	1.43317e-01	
2.13614e+00	5.16778e+03	1.54862e+14	1.36677e+02	1.69123e+28	4.00000e+02	5.56327e+25	1.37257e+02	1.38988e-01	
2.13823e+00	5.24626e+03	1.57214e+14	1.00000e+02	2.22531e+26	1.37257e+02	1.69680e+28	1.36686e+02	1.38473e-01	
2.13841e+00	5.25313e+03	1.57420e+14	1.36686e+02	1.71905e+28	4.00000e+02	5.56327e+25	1.37256e+02	1.34361e-01	
2.14049e+00	5.33157e+03	1.59772e+14	1.00000e+02	2.22531e+26	1.37256e+02	1.72461e+28	1.36694e+02	1.33867e-01	
2.14068e+00	5.33847e+03	1.59979e+14	1.36694e+02	1.74687e+28	4.00000e+02	5.56327e+25	1.37255e+02	1.29956e-01	
2.14276e+00	5.41688e+03	1.62329e+14	1.00000e+02	2.22531e+26	1.37255e+02	1.75243e+28	1.36702e+02	1.29481e-01	
2.14294e+00	5.42382e+03	1.62538e+14	1.36702e+02	1.77468e+28	4.00000e+02	5.56327e+25	1.37254e+02	1.25760e-01	
2.14502e+00	5.50219e+03	1.64887e+14	1.00000e+02	2.22531e+26	1.37254e+02	1.78025e+28	1.36710e+02	1.25304e-01	
2.14521e+00	5.50917e+03	1.65096e+14	1.36710e+02	1.80250e+28	4.00000e+02	5.56327e+25	1.37254e+02	1.21759e-01	
2.14729e+00	5.58750e+03	1.67444e+14	1.00000e+02	2.22531e+26	1.37254e+02	1.80806e+28	1.36718e+02	1.21321e-01	
2.14748e+00	5.59452e+03	1.67655e+14	1.36718e+02	1.83031e+28	4.00000e+02	5.56327e+25	1.37253e+02	1.17943e-01	
2.14955e+00	5.67281e+03	1.70002e+14	1.00000e+02	2.22531e+26	1.37253e+02	1.83588e+28	1.36725e+02	1.17521e-01	
2.14974e+00	5.67986e+03	1.70213e+14	1.36725e+02	1.85813e+28	4.00000e+02	5.56327e+25	1.37252e+02	1.14299e-01	
2.15182e+00	5.75812e+03	1.72559e+14	1.00000e+02	2.22531e+26	1.37252e+02	1.86369e+28	1.36732e+02	1.13893e-01	
2.15201e+00	5.76521e+03	1.72772e+14	1.36732e+02	1.88595e+28	4.00000e+02	5.56327e+25	1.37252e+02	1.10817e-01	
2.15409e+00	5.84344e+03	1.75117e+14	1.00000e+02	2.22531e+26	1.37252e+02	1.89151e+28	1.36739e+02	1.10426e-01	
2.15428e+00	5.85055e+03	1.75330e+14	1.36739e+02	1.91376e+28	4.00000e+02	5.56327e+25	1.37251e+02	1.07489e-01	
2.15635e+00	5.92875e+03	1.77674e+14	1.00000e+02	2.22531e+26	1.37251e+02	1.91933e+28	1.36746e+02	1.07113e-01	
2.15654e+00	5.93590e+03	1.77889e+14	1.36746e+02	1.94158e+28	4.00000e+02	5.56327e+25	1.37251e+02	1.04305e-01	
2.15862e+00	6.01406e+03	1.80232e+14	1.00000e+02	2.22531e+26	1.37251e+02	1.94714e+28	1.36753e+02	1.03942e-01	
2.15881e+00	6.02125e+03	1.80447e+14	1.36753e+02	1.96940e+28	4.00000e+02	5.56327e+25	1.37250e+02	1.01258e-01	
2.16088e+00	6.09937e+03	1.82790e+14	1.00000e+02	2.22531e+26	1.37250e+02	1.97496e+28	1.36759e+02	1.00907e-01	
2.16108e+00	6.10659e+03	1.83006e+14	1.36759e+02	1.99721e+28	4.00000e+02	5.56327e+25	1.37250e+02	9.83384e-02	
2.16315e+00	6.18469e+03	1.85347e+14	1.00000e+02	2.22531e+26	1.37250e+02	2.00278e+28	1.36765e+02	9.80003e-02	
2.16334e+00	6.19194e+03	1.85564e+14	1.36765e+02	2.02503e+28	4.00000e+02	5.56327e+25	1.37249e+02	9.55406e-02	
2.16542e+00	6.27000e+03	1.87905e+14	1.00000e+02	2.22531e+26	1.37249e+02	2.03059e+28	1.36771e+02	9.52141e-02	
