TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
8.76972e+00	7.51564e+03	2.25050e+14	7.89844e+01	2.81740e+26	8.91124e+01	3.18610e+28	8.90180e+01	1.46478e-01	
8.77015e+00	7.52241e+03	2.25253e+14	8.90180e+01	3.21427e+28	1.04484e+02	2.12981e+26	8.91123e+01	1.46309e-01	
8.77069e+00	7.53101e+03	2.25511e+14	7.88709e+01	2.82145e+26	8.91123e+01	3.23557e+28	8.90181e+01	1.45958e-01	
8.77086e+00	7.53363e+03	2.25589e+14	8.90181e+01	3.26379e+28	1.04759e+02	2.12422e+26	8.91122e+01	1.45624e-01	
8.77157e+00	7.54497e+03	2.25929e+14	8.91122e+01	3.28503e+28	1.05035e+02	2.11863e+26	8.92066e+01	1.45523e-01	
8.77168e+00	7.54672e+03	2.25982e+14	7.87588e+01	2.82547e+26	8.92066e+01	3.30621e+28	8.91122e+01	1.44997e-01	
8.77229e+00	7.55644e+03	2.26273e+14	8.91122e+01	3.33447e+28	1.05312e+02	2.11306e+26	8.92064e+01	1.44930e-01	
8.77269e+00	7.56276e+03	2.26462e+14	7.86481e+01	2.82945e+26	8.92064e+01	3.35560e+28	8.91123e+01	1.44469e-01	
8.77302e+00	7.56804e+03	2.26621e+14	8.91123e+01	3.38389e+28	1.05590e+02	2.10749e+26	8.92064e+01	1.44228e-01	
8.77372e+00	7.57915e+03	2.26954e+14	7.85388e+01	2.83339e+26	8.92064e+01	3.40497e+28	8.91124e+01	1.43939e-01	
8.77376e+00	7.57978e+03	2.26973e+14	8.91124e+01	3.43330e+28	1.05869e+02	2.10193e+26	8.92063e+01	1.43517e-01	
8.77451e+00	7.59163e+03	2.27328e+14	8.92063e+01	3.45432e+28	1.06150e+02	2.09638e+26	8.93004e+01	1.43493e-01	
8.77477e+00	7.59588e+03	2.27455e+14	7.84308e+01	2.83729e+26	8.93004e+01	3.47529e+28	8.92064e+01	1.42958e-01	
8.77526e+00	7.60361e+03	2.27687e+14	8.92064e+01	3.50366e+28	1.06431e+02	2.09084e+26	8.93003e+01	1.42798e-01	
8.77585e+00	7.61297e+03	2.27968e+14	7.83243e+01	2.84115e+26	8.93003e+01	3.52457e+28	8.92065e+01	1.42420e-01	
8.77602e+00	7.61572e+03	2.28050e+14	8.92065e+01	3.55298e+28	1.06713e+02	2.08531e+26	8.93003e+01	1.42070e-01	
8.77679e+00	7.62796e+03	2.28417e+14	8.93003e+01	3.57383e+28	1.06997e+02	2.07979e+26	8.93942e+01	1.41967e-01	
8.77694e+00	7.63041e+03	2.28491e+14	7.82191e+01	2.84497e+26	8.93942e+01	3.59463e+28	8.93003e+01	1.41425e-01	
8.77756e+00	7.64031e+03	2.28787e+14	8.93003e+01	3.62308e+28	1.07281e+02	2.07427e+26	8.93941e+01	1.41334e-01	
8.77805e+00	7.64821e+03	2.29024e+14	7.81153e+01	2.84875e+26	8.93941e+01	3.64382e+28	8.93003e+01	1.40881e-01	
